Input,Output
men,male
masculine,male
-male,male
masculin,male
none,unclear
-,unclear
-female,female
cis male,male
cis-male,male
cis female,female
cis-female,female
cisgender male,male
straight cis female,female
1,unclear
"10% male, 90% beer and cake",unclear
2/3 m & 1/3 f,sex and gender diverse
2018,unclear
alpha male,male
appache helicopter,unclear
both xx and xy,sex and gender diverse
caucasian privilleged male,male
elf,unclear
famale,female
female ish,female
female-ish,female
femenine,female
femme as fuck,female
fucking male attack helicopter,male
gender agnostic,sex and gender diverse
gender male,male
h,unclear
him,male
i am a man,male
jedi,unclear
jedi knight,unclear
makle,male
"male (guys, brave to ask this open-ended! happy clustering!)",male
male- cyborg,male
"male, post-sexual",male
males,male
masculino,male
math,male
my sex is male.,male
other/misc,sex and gender diverse
queer,sex and gender diverse
queer woman,sex and gender diverse
somewhere between woman and agender??,sex and gender diverse
straight  female,female
trans-over easy- pander,unclear
transgender - ftm,sex and gender diverse
very good looking male,male
woman/female,female
women,female
zebrafish,unclear
masculino,male
femenino,female
hombre,male
mujer,female
male,male
varón,male
female,female
masculina,male
dinosaurio,unclear
femenimo,female
femeninp,female
himbte,male
hombre macho pecho peludo jajaja,male
masc,male
masc.,male
masculini,male
masculino9,male
ninguno,unclear
varon,male
